COG0016_3,0.929636,0.663891,0.998507,1.0
COG0048_3,0.955197,0.739602,0.999426,1.0
COG0049_3,2.58791e-15,1.66689e-05,2.48322e-45,1.0
COG0049_5,1.0,0.999983,1.0,1.0
COG0049_7,1.0,8.84922e-05,2.424e-33,1.0
COG0049_9,1.0,1.0,1.0,1.0
COG0049_11,1.0,1.0,1.0,1.0
COG0049_13,1.34114e-10,0.999912,1.0,1.0
COG0049_15,1.0,1.0,1.0,1.0
COG0051_3,1.0,0.919835,1.0,1.0
COG0051_5,6.65444e-14,1.57214e-05,1.10056e-49,1.0
COG0051_7,9.16852e-16,0.730036,1.76918e-46,1.0
COG0051_9,1.0,0.189799,1.0,1.0
COG0051_11,1.0,0.189814,1.0,1.0
COG0051_13,1.0,0.91985,1.0,1.0
COG0052_3,1.0,0.999998,1.0,1.0
COG0052_5,1.0,1.0,1.0,1.0
COG0052_7,1.0,0.999999,1.0,1.0
COG0052_9,2.38916e-18,5.13924e-07,1.17408e-50,1.0
COG0052_11,1.65432e-23,1.54453e-08,2.17688e-73,1.0
COG0052_13,4.68359e-18,1.56141e-06,2.62066e-53,1.0
COG0052_15,1.0,1.0,1.0,1.0
COG0052_17,4.6836e-18,1.57686e-06,2.62066e-53,1.0
COG0052_19,1.0,1.0,1.0,1.0
COG0052_21,1.0,1.0,1.0,1.0
COG0060_3,1.28389e-09,0.000311432,1.0,1.0
COG0060_5,4.82017e-13,0.999689,3.3389e-42,1.0
COG0060_7,1.0,5.28443e-09,5.61912e-45,1.0
COG0060_9,1.0,1.0,1.0,1.0
COG0060_11,2.86122e-10,0.00830386,1.60278e-36,1.0
COG0060_13,1.0,0.991696,1.0,1.0
COG0060_15,1.69554e-20,0.83531,1.54067e-51,1.0
COG0060_17,3.07277e-15,0.989681,5.72295e-43,1.0
COG0060_19,7.83246e-30,2.21875e-09,1.08951e-77,1.0
COG0060_21,2.83783e-10,0.984542,1.0,1.0
COG0060_23,1.0,1.0,1.0,1.0
COG0060_25,1.0,1.0,1.0,1.0
COG0060_27,1.0,1.0,1.0,1.0
COG0060_29,1.0,0.0352336,1.0,1.0
COG0060_31,1.0,1.0,1.0,1.0
COG0060_33,1.0,0.0021823,1.0,1.0
