v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
0,0,COG0016,3,1.0,1.0,0_1_2,265.044794054054,263.0960141231866,1381.1578960366326,4.121480860695508e-05
0,1,COG0016,3,1.0,1.0,0_1_2,236.24844810810814,180.6126065357204,3798.4924473187248,5.234987902692821e-05
0,2,COG0016,3,1.0,1.0,0_1_2,450.9233729729731,488.2032516092227,5462.528834003129,2.1150263109629816e-05
0,3,COG0016,3,1.0,1.0,0_1_2,416.37638918918924,377.2031482786892,4206.327085322801,2.2320592927630334e-05
0,4,COG0016,3,1.0,1.0,0_1_2,173.24147135135135,143.77538855752897,1293.5160566167406,0.00012464818111902046
0,5,COG0016,3,1.0,1.0,0_1_2,117.59811621621621,98.18687284501442,551.6359457277557,0.00047924546244862204
0,6,COG0016,3,1.0,1.0,0_1_2,399.33486486486487,342.0110580408033,5256.773879905117,2.313361338130811e-05
0,7,COG0016,3,1.0,1.0,0_1_2,333.12970270270273,245.64779897093354,8802.587096875879,2.8540489259114113e-05
0,8,COG0016,3,1.0,1.0,0_1_2,421.2450108108108,375.57258898183187,4412.450608354091,2.211975088090122e-05
0,9,COG0016,3,1.0,1.0,0_1_2,287.8232,239.57524817321607,3445.5830507140195,3.564486201969318e-05
1,0,COG0048,3,1.0,1.0,0_1_2,342.98029729729734,285.50561782287093,4591.558697550958,2.744218056535183e-05
1,1,COG0048,3,1.0,1.0,0_1_2,197.63265945945946,195.04569762030545,591.5039800297469,8.320891686984106e-05
1,2,COG0048,3,1.0,1.0,0_1_2,592.5488918918919,528.6063659347208,7717.558880497147,1.995374341504578e-05
1,3,COG0048,3,1.0,1.0,0_1_2,506.9775135135135,409.1052320933525,12044.871082001568,2.0211711580978433e-05
1,4,COG0048,3,1.0,1.0,0_1_2,199.91499594594598,155.88210477561546,2322.5391935565426,8.050979278747994e-05
1,5,COG0048,3,1.0,1.0,0_1_2,114.47127702702703,106.03267712350093,229.07850319005377,0.0005276130388872723
1,6,COG0048,3,1.0,1.0,0_1_2,423.60628378378385,370.2055842070045,4623.911750482868,2.2026975340333165e-05
1,7,COG0048,3,1.0,1.0,0_1_2,318.5724864864865,266.4163303139692,3797.900991771333,3.041754135153748e-05
1,8,COG0048,3,1.0,1.0,0_1_2,496.6574324324325,406.5351923536938,10294.833912990718,2.031770795448093e-05
1,9,COG0048,3,1.0,1.0,0_1_2,320.99575675675675,259.078909709585,4784.115568438156,3.0082124448973544e-05
