1040865	1.42308	0.692308	0.576923	0.858974	0.435897	0.525641	3.79487	0	0.987179	0	
488634	10.6275	6.73529	19.049	9.81373	4.47059	4.65686	14.3039	9.33333	11.4804	5.83333	
145365	1.60256	0	3.14103	0.910256	0	0	1.5641	0.423077	0	0	
326019	5.48718	7.9359	12.6282	4.91026	4.20513	2.44872	9.01282	4.87179	10.3846	7.66667	
355095	9.48077	7.90385	24.0577	18.3654	6.30769	2.71154	19.4038	8.94231	17.4423	13.3846	
381675	4.24359	4.64103	7.24359	11.7179	3.66667	3.34615	10.7564	4.79487	6.61538	5.60256	
886977	0	0.230769	0.833333	1.76923	0	0	0	0.589744	0	0	
218941	6.8	7.2	14.1333	13.6667	1.6	3	12.4	11.6	8.46667	8.2	
434709	2.7973	6.06757	10.3514	7.04054	3.62162	1.7973	9.47297	9.47297	12.7703	5.77027	
1235458	2	4	16.5	12.25	1	1	10	5	9.25	3	
935051	8.23077	1.90385	4.90385	13.5385	5.40385	2.17308	9.07692	8.59615	3.36538	1.75	
488632	6.03846	0.884615	11	12.5385	4.11538	3	7.5	6	5.11538	0.692308	
1413872	0	1.24359	0.153846	1.34615	0.74359	0.884615	0.192308	1.03846	0.333333	0	
419053	6.24324	3.60811	19.0946	12.2703	1.81081	1.82432	10.4054	9.25676	10.3243	4.67568	
