/	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
Bin_1	12.96	0.02544	8.282	5.718	2.5	1.399	1.783	0.2887	0.03363	0.009402
Bin_2	18.48	12.91	33.17	26.65	10.88	7.034	24.06	18.22	27.59	16.3
Bin_8	80.88	2.373	32.31	28.29	4.999	6.031	5.851	4.239	5.071	5.361
