Normalisation	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
median_scg	128.81350989999999	19.63780045	92.14617735	72.1701241	22.19957785	16.36193745	42.913260550000004	29.66794925	43.78943785	30.236907950000003
nucleotides	113413101.0	19732342.0	81413787.0	67364124.0	21084106.0	16244840.0	38957054.0	28487544.0	41921435.0	27136173.0
