contig_id,cluster_id
NODE_12_length_102272_cov_16.001243.5,1
NODE_12_length_102272_cov_16.001243.6,1
NODE_12_length_102272_cov_16.001243.7,1
NODE_12_length_102272_cov_16.001243.8,1
NODE_13_length_68512_cov_85.489369.0,8
NODE_13_length_68512_cov_85.489369.1,8
NODE_13_length_68512_cov_85.489369.2,8
NODE_13_length_68512_cov_85.489369.3,8
NODE_13_length_68512_cov_85.489369.4,8
NODE_13_length_68512_cov_85.489369.5,8
NODE_14_length_68432_cov_66.540765.0,8
NODE_14_length_68432_cov_66.540765.1,8
NODE_14_length_68432_cov_66.540765.2,8
NODE_14_length_68432_cov_66.540765.3,8
NODE_14_length_68432_cov_66.540765.4,8
NODE_15_length_61306_cov_84.763935.0,8
NODE_15_length_61306_cov_84.763935.1,8
NODE_15_length_61306_cov_84.763935.2,8
NODE_15_length_61306_cov_84.763935.3,8
NODE_15_length_61306_cov_84.763935.4,8
NODE_16_length_61116_cov_84.262029.0,8
NODE_16_length_61116_cov_84.262029.1,8
NODE_16_length_61116_cov_84.262029.2,8
NODE_16_length_61116_cov_84.262029.3,8
NODE_16_length_61116_cov_84.262029.4,8
NODE_17_length_60787_cov_93.076972.0,2
NODE_17_length_60787_cov_93.076972.1,2
NODE_17_length_60787_cov_93.076972.2,2
NODE_17_length_60787_cov_93.076972.3,2
NODE_17_length_60787_cov_93.076972.4,2
NODE_18_length_57661_cov_83.486854.0,8
NODE_18_length_57661_cov_83.486854.1,8
NODE_18_length_57661_cov_83.486854.2,8
NODE_18_length_57661_cov_83.486854.3,8
NODE_18_length_57661_cov_83.486854.4,8
NODE_19_length_54512_cov_14.152824.0,1
NODE_19_length_54512_cov_14.152824.1,1
NODE_19_length_54512_cov_14.152824.2,1
NODE_19_length_54512_cov_14.152824.3,1
NODE_19_length_54512_cov_14.152824.4,1
NODE_20_length_53612_cov_15.351191.0,1
NODE_20_length_53612_cov_15.351191.1,1
NODE_20_length_53612_cov_15.351191.2,1
NODE_20_length_53612_cov_15.351191.3,1
NODE_20_length_53612_cov_15.351191.4,1
NODE_21_length_49183_cov_77.902150.0,2
NODE_21_length_49183_cov_77.902150.1,2
NODE_21_length_49183_cov_77.902150.2,2
NODE_21_length_49183_cov_77.902150.3,2
NODE_22_length_46028_cov_91.703641.0,8
NODE_22_length_46028_cov_91.703641.1,8
