contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_124_length_13217_cov_102.314840	20.8049946	16.2438889	40.1439285	32.2261810	12.4592505	8.6930761	27.3489971	21.5223618	30.8944378	18.4920921
NODE_125_length_13145_cov_76.824686	13.9047403	13.6192646	30.6209393	22.1348248	11.8730125	6.8065891	21.4020386	15.2033787	21.4093437	16.1708126
NODE_126_length_13091_cov_95.183879	20.1136074	13.3573990	36.5705566	30.4646645	12.9969444	6.9906030	27.0135994	20.3820000	28.6835518	17.0064945
NODE_127_length_12763_cov_101.184613	101.7521362	3.1398792	42.3480911	36.5464287	6.2563281	7.3732467	6.3481703	5.2792883	5.8297157	7.2607164
NODE_128_length_12757_cov_82.799054	17.5821247	12.7777338	31.1832218	24.5785179	10.3696594	6.8917289	22.8389645	16.9012928	26.4838886	15.0598192
NODE_129_length_12742_cov_98.684801	18.9990578	14.9704084	36.1519623	31.0796700	11.5456047	7.4755888	27.5420723	19.2700939	29.9259033	18.3273945
NODE_130_length_12731_cov_76.522681	17.1648197	10.2418890	27.4174728	23.9126396	10.6582603	6.3429961	21.7190666	15.7074394	24.6547260	12.2775555
NODE_131_length_12298_cov_49.382456	14.9687700	3.7897689	16.2051888	18.5901928	3.6402082	2.0826285	10.4988613	11.4938192	22.8554821	5.7552052
NODE_132_length_12247_cov_77.169269	16.5491219	12.0467949	30.1398125	22.8246632	10.0214777	6.2512045	21.0377293	16.5020828	24.2750511	13.7270727
NODE_133_length_12165_cov_82.745864	16.7969246	12.9506702	31.9781303	25.6558418	9.8671379	6.4855709	22.8236446	16.3300171	27.1943607	15.6315880
NODE_134_length_12151_cov_82.742587	86.8206406	2.2449584	34.0339928	29.3090782	5.0977859	6.3683429	5.8664908	4.4639888	5.0321836	5.2435594
NODE_135_length_12064_cov_87.861266	18.2305584	12.7143097	33.3207588	26.0851440	11.8386669	7.0339084	24.0182400	17.3448009	28.6446686	17.7410049
NODE_136_length_11995_cov_109.429183	22.3606262	16.7517719	40.2133751	33.1660118	13.8808470	9.0697069	31.0731258	22.6678066	33.0434418	20.7613602
NODE_137_length_11504_cov_109.690732	23.3879318	17.0678139	44.3175087	31.0573807	14.0446882	9.1021557	30.1229343	22.9320984	32.5091286	21.1856194
NODE_138_length_11390_cov_83.137806	17.1685982	11.5922899	30.6375141	25.8135757	10.2214613	6.4530206	23.4162273	17.4856873	26.4924488	16.8916397
NODE_139_length_11374_cov_87.003275	43.9607811	1.5394830	17.2441082	14.3640518	2.6435983	3.4454801	3.4873374	2.5028138	2.6997890	3.1366515
NODE_140_length_11264_cov_15.934746	14.9298525	0.0266383	9.4704313	5.7710886	2.3295152	1.1771444	1.7023619	0.3700941	0.0531877	0.0266383
NODE_141_length_10909_cov_8.541544	2.3705876	0.3300633	2.6983588	3.9224350	0.7640964	0.0137526	1.0165032	0.6868984	6.5827451	1.0980104
NODE_142_length_10700_cov_74.727761	15.6485329	10.6482515	28.2222843	22.8941860	9.7401381	6.5055151	20.8995132	15.5578613	24.7007847	12.8736210
NODE_143_length_10680_cov_11.499859	14.4348192	0.1119123	3.2915339	4.0241618	0.6175314	0.8400450	0.4475557	0.1663233	0.5338078	0.3226260
NODE_144_length_10623_cov_104.355964	23.4050465	14.6249886	41.3099518	31.0175133	13.2450809	7.9346576	27.8028431	20.8457775	32.0795593	20.0684490
NODE_145_length_10581_cov_84.191927	83.4093933	2.3456848	34.8655815	32.3077812	5.6079025	6.8462048	6.0572834	4.8123641	5.0867758	5.6301165
NODE_146_length_10543_cov_72.418211	15.8603544	10.3819370	27.5717678	21.8822689	9.4228249	6.0227680	19.0822506	15.6450996	22.4068871	12.2583246
NODE_147_length_10431_cov_84.739135	17.3558350	13.5224857	33.5774269	25.1287746	10.7452297	7.1466103	22.7350655	18.1174603	26.3102894	15.2729883
NODE_148_length_10385_cov_93.850893	19.3744583	13.0068378	36.5899048	27.1988831	11.0511417	7.6618509	26.5059223	20.6807289	28.9822788	18.5425205
NODE_149_length_10346_cov_92.587107	19.1389217	13.7093964	36.1197777	28.5327721	11.5140181	6.9958429	26.0292931	19.1754646	28.9290409	16.8808975
NODE_150_length_10335_cov_59.715149	13.0094843	9.9463854	22.1034546	17.6842155	7.9226751	4.5201778	16.4654026	12.8704147	18.7103462	11.3689156
NODE_151_length_10225_cov_83.457430	18.0921459	11.5356550	31.5311546	24.5852489	9.8716621	6.4309888	21.6461906	17.2494373	26.3274975	15.9677200
NODE_152_length_10123_cov_71.530858	16.9536610	9.9961462	26.4805851	22.4916515	8.6820469	5.4756446	19.8847942	14.3061953	22.8880539	12.0561209
NODE_153_length_9822_cov_8.091534	7.7188392	0.0000000	3.7059064	1.9038696	1.1287169	0.8497964	1.6874745	0.2137475	0.0606925	0.0000000
NODE_154_length_9787_cov_53.755304	11.9740419	8.9343891	19.6546764	15.6096067	6.3001533	4.2455802	14.4783850	11.5715895	17.7177315	8.8099127
NODE_155_length_9642_cov_96.613905	21.1491699	13.9595432	38.6917000	29.3801861	11.8780079	7.0338173	26.9661827	19.8082981	28.7390041	17.7804985
NODE_156_length_9517_cov_83.913242	83.6052551	2.2318444	35.3803482	29.9771938	4.9509196	6.5371518	6.5561743	4.3593273	5.6197581	5.5537572
NODE_157_length_9394_cov_83.787163	18.0689945	11.7822618	31.4826450	26.3351784	9.5061750	7.4593272	22.7981262	16.2442513	26.9049187	16.1344757
NODE_158_length_9333_cov_93.383967	18.7166443	14.0836992	36.1410370	29.7733364	12.2540989	7.1439290	25.8410683	20.7493305	26.6783848	18.0250778
NODE_159_length_9309_cov_82.216313	84.2954788	1.9799076	33.9142570	29.5268078	5.5820351	5.3556461	7.0204148	4.5659180	5.0308371	5.1643925
NODE_160_length_9094_cov_80.093823	16.7856350	12.6308842	28.7581387	24.1015186	9.9348879	7.1627803	21.8161030	16.5032997	27.0941486	14.3310604
NODE_161_length_8958_cov_84.279811	81.3138657	2.5204332	33.1656990	28.2857304	5.0828495	5.9470744	6.3445735	4.0390801	4.6448193	5.5598483
NODE_162_length_8813_cov_11.472527	11.6683693	0.0000000	5.4383159	3.4092612	1.6664397	1.6193395	1.6319374	0.2383384	0.0340483	0.0000000
NODE_163_length_8789_cov_78.875344	17.1931267	11.8546715	29.7703419	25.3713436	9.8418121	6.3680439	20.8258801	15.8378286	24.2944126	15.4439516
NODE_164_length_8519_cov_83.638593	84.6007996	3.0887637	34.0212517	29.2937660	5.4034286	5.7135143	6.1026182	4.2223787	5.7790303	6.0953388
NODE_165_length_8508_cov_10.104377	12.1781092	0.1763461	2.9977663	4.3492827	0.6692923	0.5633670	0.5810016	0.2997884	0.4228780	0.5288032
NODE_166_length_8476_cov_30.481962	31.1810246	0.9189285	12.6144676	11.4040594	2.1485722	2.1894028	2.4866650	1.8855323	2.0656126	1.5666746
NODE_167_length_8185_cov_101.298347	20.9835014	13.8667974	41.3530502	30.7157516	11.4586334	8.9830132	24.7504578	21.6546497	32.4117088	18.3381405
NODE_168_length_8089_cov_128.673864	26.1467781	19.8506241	50.1989632	38.8042526	14.9698277	9.1836281	35.0552750	25.8683071	39.3799934	24.5409908
NODE_169_length_8072_cov_7.152095	8.6400251	0.1115242	2.1532838	3.3764560	0.4644362	0.3163569	0.5568773	0.2229244	0.2969021	0.2593556
NODE_170_length_7797_cov_51.891451	5.4758177	11.2782555	17.2663250	10.8613214	4.8098783	3.7305965	13.8322001	6.1178961	8.1996155	13.6867218
NODE_171_length_7773_cov_91.535863	20.1070652	13.8137951	33.4321213	26.9160976	11.8953800	6.3196502	26.3717670	17.6293907	28.5876980	18.3744698
NODE_172_length_7716_cov_91.486189	93.8609009	2.6808400	37.6009865	31.6234112	5.6238008	6.7373605	6.4830179	5.3614206	5.7403421	6.1808400
NODE_173_length_7675_cov_110.411687	24.0056038	16.4828625	39.0621643	33.7278786	14.1616058	8.4420700	30.6117554	22.0487423	32.8148041	22.0323219
NODE_174_length_7634_cov_8.103216	7.7308702	0.1766247	4.2235327	2.8995020	0.5273847	0.4102463	0.3732966	0.5499214	0.4507338	0.3528564
NODE_175_length_7596_cov_89.744913	19.6465626	12.7106924	34.5356865	26.9669476	11.2490120	6.9503555	24.3388195	17.3895187	30.7571774	15.9701080
NODE_176_length_7592_cov_91.345043	89.5152817	3.0105402	39.4733849	33.2080383	5.2451911	7.5067196	6.6670618	5.0988140	5.9309616	6.0140977
NODE_177_length_7570_cov_96.888429	19.8718281	13.2604389	37.4818993	29.2605705	11.2214584	7.7583246	26.4137154	20.7967758	30.9859943	18.4394817
NODE_178_length_7552_cov_87.285886	18.3161583	13.1219864	34.3423843	26.8879471	10.4301987	7.2056952	24.0607948	17.2540398	26.9115238	16.4913902
NODE_179_length_7456_cov_23.868004	10.5198555	1.1911725	6.5668097	9.7612019	0.9444594	0.3622216	3.6558895	1.1277167	16.1181908	2.8557820
NODE_180_length_7359_cov_88.482422	18.7445965	12.7981510	31.3222790	29.3324718	9.6001091	7.9346199	21.2203350	18.6177788	27.5299721	15.7743645
NODE_181_length_7325_cov_9.694260	7.4775367	0.0000000	5.3777142	4.3662434	2.1685102	1.1056944	0.9367746	0.1638673	0.0409668	0.0000000
NODE_182_length_7273_cov_57.141329	13.1775551	8.2932196	20.0508862	17.5233116	7.2217026	4.6499796	14.3549719	12.4704990	21.6215096	12.2657127
NODE_183_length_7234_cov_77.509292	15.8343477	10.1666203	29.3433361	25.5146580	9.9047289	6.6634402	20.6626110	15.2981195	24.3303375	15.2519360
NODE_184_length_7225_cov_9.191522	2.9419909	0.4981310	2.2201302	3.4563200	1.0701925	0.2075315	1.4304305	1.0789145	6.8825974	1.3901426
NODE_185_length_7183_cov_87.314804	18.6630001	13.9898338	31.2875652	23.6461487	10.4864225	7.6315274	24.7418194	18.2067966	29.5584183	15.8127003
NODE_186_length_7160_cov_107.221093	22.5192795	15.8421345	42.4513817	33.9110069	13.0656605	8.9499865	30.0268230	24.1366310	33.4343376	22.6304836
NODE_187_length_7121_cov_125.160278	26.5239506	16.8916988	45.5127106	38.8294716	15.2882423	9.8418322	35.8211823	25.4280090	38.5798569	23.2770061
NODE_188_length_6988_cov_94.756330	19.6193810	12.7304611	36.3955040	30.8965073	11.6497278	7.0890350	25.4497566	20.4675064	27.9355850	16.1849422
NODE_189_length_6985_cov_99.844528	19.8963203	15.7147360	36.4847488	30.0685959	10.9553204	7.7274809	28.3557205	20.2007732	31.2431622	19.0012894
NODE_190_length_6921_cov_84.643922	19.5648212	12.2948399	30.6362190	26.7168674	10.4088745	7.6129498	21.9799099	16.7022686	28.5776844	14.6172857
NODE_191_length_6886_cov_7.494933	5.0989251	0.0000000	4.7665601	3.8958454	2.1523824	0.8489251	0.5351540	0.2173155	0.0435793	0.0000000
NODE_192_length_6845_cov_56.803635	11.1511030	9.7772903	20.1541729	15.9441767	6.1018558	5.0572848	13.8122168	12.5452290	18.0724831	12.4942274
NODE_193_length_6736_cov_90.930470	12.4919806	15.0405407	38.8213539	22.8583317	11.8185329	7.8170476	26.9254532	22.8819427	23.8929310	16.4757938
NODE_194_length_6656_cov_13.544004	5.4355273	0.8527201	4.5874662	7.7407575	1.3498647	0.6741809	4.8594832	0.8337842	2.2400060	0.8321310
