contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_634_length_435_cov_1.837989	0.3464203	0.3441108	0.3464203	0.3464203	0.6928406	0.0000000	0.6928406	0.0000000	0.6905312	0.3464203
NODE_635_length_434_cov_16.641457	1.3888888	3.7361112	6.4976850	1.7245370	2.7407408	1.0254630	2.4305556	3.3865740	2.4305556	4.1134257
NODE_636_length_433_cov_14.926966	0.6960557	3.4013922	7.1995358	2.0858469	0.6960557	0.6960557	2.0881670	1.9883990	3.1067286	3.4176333
NODE_637_length_433_cov_13.808989	3.1554525	1.0417633	5.4918795	2.4431555	0.3480279	0.8515081	5.1879349	2.0974479	5.9234338	3.7703016
NODE_638_length_432_cov_84.163380	11.1767445	11.9767447	21.0302334	18.7488365	9.2302322	6.4906979	11.7232561	10.2813950	26.0767441	20.4279060
NODE_639_length_426_cov_33.392550	5.2099056	8.0966978	13.6533022	6.6957545	3.1839623	3.1768868	4.5943398	6.6108489	5.5424528	8.0518866
NODE_640_length_426_cov_7.782235	2.4764152	0.0000000	1.0613208	2.8231132	0.3537736	0.0000000	2.4551888	0.3537736	3.8160377	0.7075472
NODE_641_length_426_cov_3.573066	0.7075472	0.0000000	1.4103774	0.3537736	0.0000000	0.0000000	0.3537736	0.3537736	2.4764152	1.0613208
NODE_642_length_423_cov_24.806358	2.4940617	5.9881234	8.8171024	2.4750593	1.3966746	2.7624702	3.9168646	2.8004751	4.9192400	7.1140141
NODE_643_length_418_cov_85.340176	5.0384617	0.0000000	3.5961537	5.2692308	1.3557693	0.0000000	3.5504808	1.0600961	0.3557692	0.9831731
NODE_644_length_418_cov_11.539589	1.3942307	1.0793269	1.7307693	1.4326923	1.7403846	0.7139423	1.0576923	1.4110577	6.0408654	2.8701923
NODE_645_length_418_cov_10.926686	1.3774039	0.0000000	3.9350963	3.5673077	1.0625000	0.3605769	4.2692308	2.8846154	2.5072114	1.0817307
NODE_647_length_415_cov_4.239645	1.7142857	1.0338984	0.3631961	0.7215496	0.3607748	0.3631961	1.4527845	1.8159807	1.0871670	0.6900727
NODE_648_length_410_cov_18.333333	5.4240198	0.7132353	4.7671571	3.2034314	1.4705882	1.4338236	3.6250000	2.5735295	3.9950981	1.8014706
NODE_649_length_410_cov_8.129129	1.3578432	0.7352941	2.3382354	2.8284314	0.7034314	0.0000000	2.9142158	1.4509804	2.1862745	0.6813725
NODE_650_length_409_cov_3.466867	0.0000000	4.7862406	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	1.4742014
NODE_651_length_409_cov_3.207831	0.0000000	0.0000000	1.8427519	0.7321867	0.0000000	0.0000000	0.7371007	1.4275185	1.1081082	0.3685504
NODE_652_length_409_cov_2.975904	1.8304669	0.0000000	0.3685504	1.0982801	0.0000000	0.0000000	1.4717444	0.7199017	0.3292383	0.3660934
NODE_653_length_408_cov_10.845921	1.4778326	1.1083744	2.2044334	2.9039409	0.0000000	1.8472906	1.4778326	2.2167487	4.0615764	1.0886699
NODE_654_length_407_cov_3.106061	1.8320987	0.0000000	0.7259259	2.5901234	1.4320987	0.0000000	0.7407407	0.0000000	0.7234568	0.0000000
NODE_655_length_406_cov_5.097264	0.3712871	0.3712871	0.3712871	1.1113862	0.0000000	0.0000000	0.3712871	0.7425743	1.1014851	0.3712871
NODE_657_length_405_cov_5.341463	0.3473946	0.3647643	1.4640199	0.3722084	0.3697270	0.0000000	0.3722084	0.7320099	0.0000000	1.8560795
NODE_658_length_405_cov_2.783537	0.3697270	0.0000000	0.7394541	0.7444169	0.3722084	0.0000000	0.0000000	0.7444169	1.8560795	0.3722084
NODE_659_length_404_cov_65.088685	5.4079604	10.6467657	19.2835827	8.1492538	9.5970154	1.8656716	13.5995026	13.3208952	11.7039804	12.4676619
NODE_660_length_404_cov_9.269113	0.7462686	0.3731343	0.7114428	2.2388060	0.3731343	0.3731343	0.3731343	0.3731343	0.3706468	0.3557214
NODE_661_length_403_cov_38.325153	2.6184540	4.8004990	9.6558599	8.7980051	4.0972567	2.1670823	6.9850373	2.1945138	8.0847883	8.1670818
NODE_662_length_403_cov_8.104294	1.1221945	0.3740648	2.1895261	0.0000000	1.8403990	1.8678304	1.8703241	1.0748130	1.5037407	1.1221945
NODE_663_length_402_cov_6.886154	0.3750000	0.7475000	1.8550000	1.1275001	0.0000000	0.3675000	0.0000000	1.5000000	1.7625000	0.7425000
NODE_664_length_401_cov_14.864198	2.9223058	0.0000000	4.8370929	5.6315789	1.8796992	0.3759398	5.2606516	4.1102757	0.0000000	1.4887218
NODE_665_length_400_cov_2.399381	0.7437186	0.3743719	0.7537689	0.7386935	0.0000000	0.0000000	0.0000000	0.3743719	1.1306533	0.3768844
NODE_667_length_397_cov_13.237500	0.0000000	4.8075948	2.6556962	0.0000000	0.0000000	1.5189873	0.3797468	1.5189873	3.4151900	6.4481010
NODE_668_length_397_cov_5.165625	0.7594936	1.1443038	2.6405063	2.2278481	1.9012659	0.0000000	1.5265822	0.3822785	1.8607595	1.1392405
NODE_669_length_395_cov_63.977987	6.4045801	9.3078880	23.6615772	8.5445290	4.1323156	4.0636134	11.1704836	7.8218827	12.0941477	12.5241728
NODE_670_length_395_cov_44.078616	5.3256998	2.6590331	9.8244276	15.4885492	2.6717558	0.3689567	6.0610685	6.0636134	14.8346052	4.9541984
NODE_671_length_394_cov_1.880126	0.3826531	0.0000000	0.3826531	0.3801020	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_672_length_391_cov_33.550955	5.7686377	5.3624678	5.7737789	7.6426735	2.6966581	1.5424165	8.4215937	3.0848329	4.6118250	4.4730077
NODE_673_length_391_cov_29.904459	5.7017994	1.9280206	6.1413879	8.5064268	3.4267352	0.7455013	9.1670952	3.3547559	4.2493572	2.2750642
NODE_674_length_389_cov_18.836538	2.5968993	3.7984495	0.7751938	0.0000000	0.7751938	1.5503876	1.1369509	1.5478036	1.9302325	1.8630491
NODE_675_length_389_cov_14.576923	1.1266149	3.0723515	6.0878553	1.4780362	1.1317829	0.6821706	1.8863049	1.1627907	2.2454782	2.3255813
NODE_676_length_389_cov_13.282051	0.3875969	2.6976745	2.2945735	0.7751938	1.5503876	0.7751938	4.2428942	1.8992248	5.7984495	4.2196383
NODE_677_length_389_cov_2.368590	0.0000000	2.3178294	0.0000000	0.3850129	0.0000000	0.0000000	0.3875969	0.0000000	0.0000000	0.0000000
NODE_678_length_388_cov_5.141479	1.5466322	0.0000000	2.6476684	1.5466322	0.3886010	0.0000000	1.1632124	0.3886010	0.7461140	0.7772021
NODE_679_length_388_cov_1.691318	0.3886010	0.7694300	0.3782384	0.3860103	0.0000000	0.0000000	0.7694300	0.3886010	0.3886010	0.0000000
NODE_680_length_385_cov_31.603896	6.1932116	1.1749347	7.3890338	8.5979109	1.8981724	2.2558746	8.1305485	2.3420365	11.6762400	4.6605744
NODE_681_length_384_cov_3.104235	0.0000000	1.1753926	1.1806283	0.3952880	0.0000000	1.1727749	0.7801047	0.3926702	1.1780105	0.3926702
NODE_682_length_382_cov_22.531148	1.5473684	4.7315788	8.8973684	2.1684210	3.9447370	1.5157895	2.6894736	3.5105264	3.4973683	5.8631577
NODE_683_length_382_cov_7.744262	0.0000000	3.5526316	1.1842105	0.0000000	1.1842105	0.7894737	0.3736842	1.1842105	0.7894737	3.1552632
NODE_684_length_380_cov_8.132013	0.3862434	0.7328042	3.1719577	3.4947090	0.7513227	0.3703704	1.5529101	1.9021164	2.3756614	0.0000000
NODE_685_length_380_cov_1.920792	1.1878307	0.0000000	0.7910053	0.0000000	0.0000000	0.3968254	0.0000000	0.0000000	0.0000000	0.0000000
NODE_686_length_379_cov_67.966887	12.3050394	5.1458888	19.0928383	12.7029181	7.3580904	2.2970822	12.3209553	6.8753314	14.4748011	5.7639256
NODE_688_length_375_cov_5.023490	2.0080428	0.8042895	2.4128687	0.8042895	0.3994638	0.0000000	0.4021448	0.8042895	1.1608579	0.0000000
NODE_689_length_374_cov_4.821549	4.4327955	0.0000000	1.2096775	1.6102151	0.4032258	0.4032258	0.0000000	0.0000000	0.0000000	0.0000000
NODE_690_length_373_cov_13.554054	0.7843665	0.0000000	1.6118598	0.8059299	1.2129380	0.8059299	3.1509433	2.4204853	0.4043127	0.3557951
NODE_692_length_371_cov_37.170068	4.7154469	4.4688349	8.3604336	9.6504068	5.6097560	1.2113822	12.0948505	6.8753386	11.7588072	8.8482389
NODE_693_length_371_cov_5.955782	0.4065041	0.0000000	2.8075881	1.2195122	1.2195122	0.0000000	2.4390244	1.2195122	0.4065041	0.4065041
NODE_694_length_371_cov_2.370748	0.3956639	0.0000000	0.4065041	1.2168021	0.4037941	0.0000000	0.4065041	0.0000000	0.0000000	0.0000000
NODE_695_length_370_cov_5.259386	0.4076087	2.8532608	0.0000000	2.0353260	1.2201087	1.2228261	0.4076087	0.0000000	1.6304348	0.4076087
NODE_696_length_370_cov_3.559727	2.4429348	0.4048913	0.3994565	1.9891304	0.0000000	0.0000000	0.8043478	0.4076087	0.3559783	0.0000000
NODE_697_length_368_cov_30.972509	3.2185793	1.9344262	10.4836063	8.0792351	0.0000000	0.8196721	4.0355191	8.8633881	8.4316940	2.0491803
NODE_699_length_367_cov_2.265517	0.4109589	0.4082192	1.2301370	0.4109589	0.0000000	0.8219178	0.0000000	0.0000000	0.0000000	0.4109589
NODE_700_length_365_cov_4.690972	4.1157026	0.0000000	1.6308540	1.2148761	0.4132231	0.4104683	0.0000000	0.0000000	0.0000000	0.0000000
NODE_701_length_365_cov_3.409722	0.0000000	0.0000000	0.0000000	0.4104683	0.0000000	1.2396694	2.0633609	0.4132231	2.4765840	0.0000000
NODE_702_length_362_cov_7.340351	0.0000000	0.0000000	1.9972222	0.4166667	0.4166667	0.0000000	1.2500000	3.3305554	1.6111112	2.4777777
NODE_703_length_362_cov_2.803509	0.0000000	5.8249998	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_704_length_361_cov_40.809859	8.3760443	0.0000000	2.8662953	3.7576602	1.6211699	0.4122563	4.1364903	2.4874651	0.8161560	2.0891366
NODE_705_length_360_cov_16.194346	4.2011175	0.8044693	5.4217877	7.8882680	4.5670390	2.8966479	7.0474858	4.0530725	3.7150838	2.0726256
NODE_706_length_360_cov_5.862191	1.6564245	0.0000000	1.2569833	0.4189944	0.4189944	0.0000000	0.4189944	0.0000000	0.0000000	0.0000000
NODE_707_length_359_cov_12.248227	0.8039216	2.8571429	3.3585434	1.2549020	0.8319328	1.1988796	2.8907564	1.2156863	2.4117646	4.0896358
NODE_708_length_358_cov_8.487544	1.6432585	0.3539326	2.1067417	2.1095505	0.4213483	0.3820225	3.6769662	3.3033707	3.3707864	0.4213483
NODE_709_length_356_cov_3.007168	0.0000000	0.3926554	0.4237288	0.4237288	0.8474576	0.0000000	1.6836158	0.0000000	0.8474576	0.3757062
NODE_710_length_355_cov_5.679856	0.0000000	0.8498583	2.0481586	1.6657224	0.4249292	0.4249292	1.1898017	0.8498583	0.4164306	0.8498583
NODE_711_length_355_cov_2.492806	0.4220963	0.0000000	0.8498583	0.0000000	1.2747875	0.4249292	0.0000000	0.0000000	1.2719547	0.0000000
NODE_712_length_352_cov_37.680000	0.0000000	5.5428572	10.6542854	2.9857142	0.0000000	1.6914285	3.4257143	3.4285715	2.9200001	8.8999996
NODE_713_length_352_cov_12.461818	0.8571429	0.0000000	1.2828572	0.0000000	0.4285714	0.0000000	0.0000000	0.0000000	0.4285714	0.8085715
NODE_714_length_352_cov_6.523636	0.8571429	0.0000000	4.2714286	0.4285714	0.0000000	0.0000000	0.8571429	1.2257143	0.8571429	0.8571429
NODE_715_length_351_cov_32.715328	1.2865330	1.2893983	3.8252149	3.0085959	2.5759313	1.7191978	3.4240687	3.8681948	3.8681948	0.8595989
NODE_716_length_350_cov_27.347985	8.3706894	0.8591954	4.7500000	3.8017242	3.4540229	0.0000000	7.2931032	1.2931035	5.1609197	2.5402298
NODE_717_length_350_cov_2.684982	3.4454024	0.0000000	0.4310345	0.4310345	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_718_length_349_cov_4.533088	3.3775215	0.0000000	1.2968299	1.2853026	0.0000000	0.0000000	0.4322767	0.0000000	0.0000000	0.4322767
NODE_719_length_349_cov_4.220588	0.0000000	0.0000000	3.0259366	0.4322767	0.0000000	0.0000000	0.8616714	1.6829971	1.7175792	0.0000000
NODE_720_length_348_cov_20.693727	3.4682081	2.1358380	5.4942198	5.1676302	1.6820810	1.3005780	1.7052023	5.5433526	6.8236995	2.1387284
NODE_721_length_346_cov_22.390335	3.9244187	2.6162791	5.2180233	6.9302325	0.4360465	3.4825583	3.0465117	2.6162791	8.2412786	0.0000000
NODE_722_length_344_cov_2.838951	0.0000000	0.0000000	0.8771930	0.4385965	0.0000000	0.0000000	0.8771930	0.4385965	1.7485380	0.4385965
NODE_723_length_343_cov_2.627820	0.8768328	0.0000000	0.4398827	0.0000000	0.0000000	0.0000000	1.3167156	0.4398827	1.3167156	0.0000000
NODE_725_length_342_cov_12.686792	0.0000000	14.0941181	1.3235294	0.4323529	0.8823529	1.7617648	2.1352942	2.0911765	1.7647059	4.3588233
NODE_726_length_342_cov_5.588679	0.4411765	0.0000000	2.6470587	0.4411765	0.8823529	0.0000000	3.0735295	0.0000000	0.0000000	0.0000000
NODE_727_length_342_cov_3.328302	0.4352941	1.7441176	1.2823529	0.4264706	0.0000000	0.8823529	0.8852941	1.7323530	0.3588235	0.4235294
NODE_728_length_342_cov_2.275472	0.0000000	0.4411765	0.8705882	0.8823529	0.0000000	0.0000000	0.4382353	0.8794118	0.4411765	0.0000000
NODE_729_length_341_cov_5.518939	1.3244838	1.3274336	1.7699115	1.7669617	0.4424779	0.0000000	1.3244838	1.3067846	0.4424779	0.0000000
NODE_730_length_341_cov_2.587121	0.0000000	0.4424779	0.8849558	0.8820059	0.0000000	0.4424779	0.8849558	0.0000000	0.8820059	0.0000000
NODE_732_length_337_cov_1.403846	0.8925373	1.3402985	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_733_length_336_cov_12.440154	1.3473054	1.3473054	1.7964072	4.9251499	1.3383234	0.4491018	3.1347306	1.7694610	0.4491018	0.0000000
NODE_734_length_334_cov_32.350195	17.0361443	0.9036145	12.7439756	11.4608431	1.2801205	1.3493975	2.6415663	0.4518072	3.1566265	2.7078314
NODE_735_length_333_cov_1.058594	0.0000000	0.0000000	0.9063444	0.0000000	0.0000000	0.0000000	0.0000000	0.4531722	1.3564955	0.0000000
NODE_736_length_332_cov_1.145098	0.4545455	0.0000000	0.4515151	0.4515151	0.0000000	0.0000000	0.0000000	0.4545455	0.0000000	0.0000000
NODE_737_length_331_cov_16.992126	2.7082067	1.3677812	4.4832826	6.7963524	1.8115501	0.4528875	6.2826748	0.8480243	0.8905775	0.9118541
NODE_738_length_330_cov_10.513834	2.2286584	0.0000000	3.6158535	4.5396342	0.9146342	0.9146342	2.2865853	0.0000000	0.9054878	0.0000000
NODE_739_length_329_cov_37.400794	6.4128442	0.0000000	5.0183487	8.6880732	4.5840979	1.3761468	4.5596333	5.4862385	7.3302751	0.9174312
NODE_740_length_329_cov_23.904762	0.0000000	4.0519876	4.4770641	0.0000000	0.0000000	0.4556575	3.2048929	0.4587156	2.7492354	4.9602447
NODE_741_length_329_cov_9.361111	1.7951070	2.1896024	1.3761468	1.7859328	1.2996942	0.4587156	0.4587156	0.0000000	0.4556575	1.2660550
NODE_742_length_328_cov_32.697211	8.1165648	4.5950918	6.8957057	8.6963186	3.1411042	2.6963191	4.5061350	3.2085888	7.1349692	1.3159509
NODE_743_length_327_cov_19.164000	1.8061539	1.3846154	3.6923077	4.0738463	1.3846154	1.3846154	4.9846153	3.6492307	3.1476922	3.1476922
NODE_744_length_327_cov_1.456000	0.0000000	0.0000000	0.9200000	0.4553846	0.0000000	0.0000000	0.4030769	0.4615385	0.0000000	0.4615385
NODE_745_length_325_cov_2.580645	0.9071208	0.9287926	0.4643963	0.0000000	0.4643963	0.0000000	0.0000000	0.4643963	0.9256966	0.9287926
NODE_746_length_324_cov_32.534413	3.1583850	1.8633541	6.9099379	9.1801243	2.3291926	0.0000000	3.6459627	2.7422361	7.3757763	2.7857144
NODE_747_length_322_cov_18.216327	2.7750001	3.2218750	2.7500000	6.2375002	2.3000000	0.4562500	6.7906251	2.2531250	1.3375000	1.8187500
NODE_748_length_322_cov_3.216327	2.3343749	0.0000000	1.8031250	0.4687500	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_749_length_322_cov_2.216327	0.4687500	1.8750000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.4656250	0.9312500
NODE_750_length_321_cov_34.950820	0.9404389	0.0000000	0.4702194	0.0000000	0.0000000	0.4702194	0.9404389	0.4702194	0.9404389	0.4702194
NODE_751_length_321_cov_6.930328	0.9090909	2.7460816	2.3510971	4.1724138	0.4043887	1.8526646	2.2915361	2.2978055	4.1912227	0.9404389
NODE_752_length_321_cov_6.344262	1.4106584	0.0000000	1.8495297	0.4670846	2.8213167	0.9373041	3.2789969	0.0000000	0.9216301	0.0000000
NODE_753_length_320_cov_14.995885	0.8993711	0.4716981	2.5597484	3.7641509	2.3584905	0.9433962	1.8113208	4.2075472	6.4905663	0.9402516
NODE_754_length_320_cov_9.979424	1.4119496	0.4716981	2.3333333	1.4025158	1.8867924	0.4716981	2.7264152	0.4716981	5.0157232	0.0000000
NODE_755_length_319_cov_17.884298	2.3438485	0.4731861	3.7539432	2.7539432	1.4195584	1.4195584	4.7003155	2.8391168	2.8359621	1.3690852
NODE_756_length_319_cov_7.578512	0.4731861	0.4731861	1.4164038	0.9463722	1.3880126	0.0000000	0.9463722	0.0000000	3.7129338	0.4511041
NODE_757_length_319_cov_2.413223	2.8233438	0.0000000	0.4731861	0.4731861	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_758_length_319_cov_1.206612	0.4700316	0.0000000	0.4731861	0.9432177	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_759_length_318_cov_7.203320	0.0000000	0.9462025	1.8481013	0.9430380	0.4746836	0.0000000	0.4746836	1.8196203	3.3196204	0.4746836
NODE_760_length_318_cov_3.526971	0.4556962	0.4746836	0.0000000	0.0000000	0.0000000	0.0000000	2.3702531	0.9493671	0.4746836	0.9493671
NODE_761_length_318_cov_2.099585	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.4746836	0.0000000	0.0000000	0.0000000	0.4746836
NODE_762_length_317_cov_6.854167	3.2984128	1.8888888	2.3809524	2.3396826	3.2539682	0.0000000	2.3460317	0.4761905	3.3333333	3.2158730
NODE_763_length_317_cov_3.587500	3.2730160	0.0000000	1.4158731	0.4761905	0.0000000	0.4761905	0.0000000	0.0000000	0.0000000	0.0000000
NODE_764_length_316_cov_17.133891	0.0000000	1.4331210	4.2515922	1.9108280	2.7961783	0.4777070	1.9044586	0.4777070	2.3853502	2.8662419
NODE_765_length_316_cov_2.138075	0.0000000	0.0000000	0.4745223	0.9522293	0.4777070	0.0000000	0.0000000	0.0000000	1.4331210	0.0000000
NODE_766_length_315_cov_4.806723	0.4792332	0.4440894	3.6964855	0.4824281	0.4792332	0.0000000	0.0000000	0.4792332	2.7763579	0.0000000
NODE_767_length_315_cov_1.533613	0.0000000	0.4760383	0.0000000	0.9584665	0.0000000	0.0000000	0.9552715	0.0000000	0.0000000	0.0000000
NODE_768_length_314_cov_7.772152	1.9102564	0.4583333	3.7724359	1.4134616	0.0000000	0.0000000	2.8589745	0.9615384	0.9134616	1.4326923
NODE_769_length_314_cov_3.995781	1.8878205	0.0000000	0.9615384	1.8461539	0.0000000	0.0000000	0.4230769	0.0000000	0.0000000	0.0000000
NODE_770_length_314_cov_2.936709	0.0000000	0.4807692	0.9583333	1.8814102	0.0000000	0.0000000	0.4743590	0.4775641	0.4807692	0.0000000
NODE_771_length_313_cov_63.122881	15.1864948	6.6463022	10.0032158	16.8681679	6.5112538	4.7299037	11.7588425	11.3697748	13.3697748	8.4662380
NODE_772_length_312_cov_5.229787	1.4516129	0.0000000	0.4838710	1.9354838	0.4838710	0.0000000	0.9677419	0.4838710	1.9290322	0.4838710
NODE_773_length_312_cov_2.944681	0.0000000	0.9677419	1.4483871	0.0000000	0.9677419	0.4838710	0.9548387	0.4838710	0.4838710	0.9612903
NODE_774_length_310_cov_5.244635	0.0000000	0.0000000	2.4025974	0.4870130	0.0000000	0.9740260	0.0000000	1.9383117	2.3409090	0.0000000
NODE_775_length_310_cov_1.669528	0.4837662	0.9707792	0.0000000	0.0000000	0.4870130	0.0000000	0.0000000	0.0000000	0.4870130	0.4870130
NODE_776_length_310_cov_1.364807	0.4837662	0.4870130	0.0000000	0.0000000	0.4577922	0.0000000	0.4870130	0.0000000	0.0000000	0.4837662
NODE_777_length_309_cov_27.741379	4.8729644	0.9771987	3.4136808	4.7915311	1.9543974	4.3257327	3.8534203	4.3778501	6.0521173	2.9315960
NODE_778_length_308_cov_90.809524	2.9411764	0.0000000	1.9607843	1.9509804	0.9738562	0.0000000	1.9575163	0.4901961	0.0000000	2.4411764
NODE_779_length_308_cov_7.216450	0.8954248	0.0000000	2.3594770	1.2810458	0.0000000	0.0000000	0.0000000	0.9477124	3.8692811	1.4673202
NODE_780_length_307_cov_3.778261	0.9081967	0.9836066	0.4918033	1.9147542	0.0000000	0.0000000	0.4819672	0.9836066	0.0000000	0.9475410
NODE_782_length_307_cov_2.747826	0.9803278	0.0000000	1.4754099	1.4754099	0.0000000	0.0000000	0.4918033	0.0000000	0.4918033	0.0000000
NODE_783_length_305_cov_2.236842	0.9834983	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.4950495	0.0000000	0.0000000	0.0000000
NODE_785_length_303_cov_1.292035	0.4950166	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_786_length_302_cov_3.191111	0.9866667	0.0000000	0.9966667	0.9700000	0.4966667	0.0000000	0.5000000	0.5000000	0.0000000	0.5000000
NODE_787_length_302_cov_2.004444	0.0000000	0.5000000	0.9966667	0.0000000	0.4900000	0.0000000	1.0000000	0.5000000	0.0000000	0.0000000
NODE_789_length_301_cov_5.370536	0.0000000	0.4983278	1.9665552	0.4749164	0.9431438	0.0000000	1.4749163	1.4414716	2.4682274	0.4749164
NODE_791_length_299_cov_16.418919	5.5218854	0.5151515	1.5353535	5.0673399	1.9562290	0.5050505	3.5555556	1.0101010	2.0303030	0.9158249
NODE_792_length_299_cov_1.315315	0.5016835	0.0000000	0.0000000	0.0000000	0.0000000	0.5050505	0.0000000	0.0000000	0.0000000	0.0000000
NODE_793_length_298_cov_29.547511	5.6250000	2.5405405	8.5777025	6.4932432	3.9966216	1.9189190	4.5945945	6.6351352	6.5472975	3.9527028
NODE_794_length_297_cov_2.668182	1.5220339	0.0000000	0.0000000	0.0000000	0.0000000	1.5254238	0.0000000	0.0000000	0.0000000	0.0000000
NODE_795_length_297_cov_2.600000	0.0000000	0.0000000	0.5016949	1.0135593	0.0000000	0.0000000	0.0000000	0.0000000	0.5050848	0.0000000
NODE_796_length_297_cov_1.931818	1.0169492	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.5084746	0.0000000	0.0000000	0.0000000
NODE_798_length_296_cov_14.630137	2.5510204	0.0000000	2.5510204	0.0000000	1.0136055	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_799_length_296_cov_1.652968	0.0000000	0.0000000	0.5102041	1.0136055	0.0000000	0.0000000	0.5068027	0.0000000	0.0000000	0.0000000
NODE_800_length_295_cov_2.678899	0.5119454	0.0000000	0.5119454	0.5119454	0.5085324	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
NODE_801_length_295_cov_1.674312	0.5119454	0.0000000	0.5085324	0.5119454	0.0000000	0.0000000	0.5119454	0.0000000	0.5085324	0.0000000
NODE_803_length_292_cov_2.409302	0.9827586	0.9551724	0.5172414	0.0000000	0.5172414	0.0000000	0.5172414	0.0000000	1.4551724	0.0000000
NODE_804_length_292_cov_1.358140	0.0000000	0.0000000	0.0000000	1.0344827	0.0000000	0.0000000	0.5137931	0.0000000	0.0000000	0.5137931
NODE_805_length_291_cov_10.757009	1.0103806	1.4463668	1.4844291	4.9792390	0.5190312	0.5328720	3.5363321	0.9377162	5.3529410	1.0380623
NODE_806_length_291_cov_5.598131	3.5570934	0.0000000	1.0346020	1.4809688	0.5190312	0.0000000	0.5190312	0.5190312	0.0000000	0.5190312
NODE_807_length_291_cov_1.551402	0.5086505	0.0000000	1.0380623	0.5155709	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.5155709
NODE_808_length_290_cov_7.859155	0.5208333	0.0000000	2.0798612	0.4861111	1.0416666	0.0000000	2.6076388	1.5451388	1.9305556	0.4409722
NODE_809_length_290_cov_6.234742	1.4756944	0.0000000	1.0416666	1.0381944	0.5208333	0.0000000	0.0000000	0.0000000	4.6388888	1.0416666
NODE_810_length_290_cov_3.652582	0.5138889	0.5208333	0.4861111	0.5208333	0.0000000	0.0000000	1.0000000	2.0069444	1.5416666	1.0416666
NODE_811_length_290_cov_2.333333	0.0000000	0.5208333	0.5208333	0.0000000	0.5173611	0.5208333	2.0763888	0.0000000	0.0000000	0.0000000
NODE_812_length_290_cov_1.699531	0.5173611	0.0000000	0.5208333	1.5451388	0.0000000	0.0000000	0.0000000	0.5208333	0.0000000	0.0000000
NODE_813_length_290_cov_1.389671	0.0000000	0.0000000	0.0000000	1.0416666	1.0381944	0.5208333	0.5208333	0.5208333	0.0000000	0.0000000
NODE_814_length_289_cov_2.410377	1.0418118	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	1.5644599	0.0000000	0.0000000	1.0452962
NODE_815_length_289_cov_1.377358	0.5191638	0.0000000	0.5226481	0.5226481	0.5226481	0.0000000	0.0000000	0.0000000	0.0000000	0.5191638
NODE_816_length_289_cov_1.330189	0.0000000	0.5191638	0.0000000	0.0000000	0.0000000	1.0418118	0.0000000	0.0000000	0.0000000	0.5226481
NODE_817_length_288_cov_3.578199	2.6188812	0.0000000	0.0000000	2.0699301	1.4160839	0.0000000	0.5244755	0.0000000	0.0000000	0.0000000
NODE_819_length_288_cov_2.327014	0.0000000	0.0000000	1.0489510	1.0419581	0.0000000	0.0000000	1.5734266	0.0000000	0.0000000	0.0000000
NODE_820_length_288_cov_1.383886	0.0000000	0.0000000	0.0000000	0.0000000	1.0419581	0.5244755	0.0000000	0.0000000	0.0000000	0.0000000
NODE_823_length_286_cov_76.880383	7.5774646	5.6443663	23.2464790	12.0774651	5.7922535	3.6971831	14.6126757	13.4366198	14.5035210	7.6795774
NODE_824_length_286_cov_31.813397	2.6197183	2.0598590	10.8661976	3.1267605	1.0528169	1.5633802	3.6725352	5.7112675	4.1126761	3.5211267
NODE_825_length_286_cov_1.397129	0.0000000	0.0000000	0.0000000	1.0528169	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.5281690
NODE_826_length_285_cov_20.451923	0.0000000	0.0000000	0.5300353	1.5901060	1.0600706	0.5300353	2.1060071	1.0424029	1.5901060	1.5901060
NODE_827_length_285_cov_19.216346	1.5901060	1.5901060	2.6572437	2.6183746	1.0600706	0.5300353	0.0000000	1.0388693	3.1590106	2.1201413
NODE_828_length_285_cov_1.399038	0.5265018	0.0000000	0.0000000	0.5300353	0.5265018	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
