4.121480807328978230e-05,5.234987834112130793e-05,2.115026285195895458e-05,2.232059265428375523e-05,1.246481795020751402e-04,4.792454567586950450e-04,2.313361309702883752e-05,2.854048890132210718e-05,2.211975061025006165e-05,3.564486156350901204e-05
2.744218022259860333e-05,8.320891577757121406e-05,1.995374317332233063e-05,2.021171133582380148e-05,8.050979173010576289e-05,5.276130326757448325e-04,2.202697507092631329e-05,3.041754096792911023e-05,2.031770770791528304e-05,3.008212406998865887e-05
1.113835174783450177e-01,1.251783736930039137e-01,8.744721316902794028e-02,1.077786705836501213e-01,1.251783736930039137e-01,1.251783736930039137e-01,1.251783736930039137e-01,1.251783736930039137e-01,1.204545387578754428e-01,1.251783736930039137e-01
1.163281368003147957e-02,2.681940044556014799e-02,5.101638966850578251e-03,2.472036007750374673e-02,5.014025832451096676e-02,7.051269362441445199e-02,1.683526471590839416e-02,2.690102525382752352e-02,1.065392794054049672e-02,1.710447318936862693e-02
8.130953248434033553e-02,3.849075256643449267e-02,5.220792582866595061e-02,8.568520793856897189e-02,8.049111379740099548e-02,9.234190087799193369e-02,8.213702431957105310e-02,6.730674098773195557e-02,2.970218595940852732e-02,4.340731790702350573e-02
1.098425052500253546e-02,2.252709704216386555e-02,4.560106740663014829e-03,3.775259865866817909e-03,2.735597689149615527e-02,6.228925906511899313e-02,6.004271613378463733e-03,9.374537450130469851e-03,3.202910961775520121e-03,1.534842829156042067e-02
3.210149644014595460e-02,5.021119604904052819e-02,1.208259193471600268e-02,4.654010324267567750e-02,7.185426513083505162e-02,8.011845570522492521e-02,3.422363565992365270e-02,4.157318332703885400e-02,2.056528277951290978e-02,4.275797951405996972e-02
1.776007144102245347e-02,7.193728004316572722e-02,6.208148295448112294e-03,1.676257893084687201e-02,6.085969861007738818e-02,8.700304427642982508e-02,1.406557664330486401e-02,1.763184829886740856e-02,3.677875671524979267e-02,4.671562500347530705e-02
2.744218022259860333e-05,8.320891577757121406e-05,1.995374317332233063e-05,2.021171133582380148e-05,8.050979173010576289e-05,5.276130326757448325e-04,2.202697507092631329e-05,3.041754096792911023e-05,2.031770770791528304e-05,3.008212406998865887e-05
6.562028251552805280e-02,8.507565526241910037e-02,1.963058523151358856e-02,3.343913265064248769e-02,6.748257453900098624e-02,1.225161177444762384e-01,3.697498980620609471e-02,2.692581271045383501e-02,3.280885332827431639e-02,7.101805796463081522e-02
