Haplo,0,1,2,3,4,5,6,7,8,9
0,6.116923652784155e-06,4.354000205366302e-06,1.3330761159498523e-05,9.111340731960946e-06,3.417735384283851e-06,2.25658723418163e-06,8.487217619913968e-06,5.7028409531643986e-06,9.100452987166897e-06,5.8854310415311395e-06
1,6.140668472523607e-06,4.128697026972474e-06,1.0431888633147599e-05,8.409737044366616e-06,3.648914609724178e-06,2.5153555002659353e-06,7.523436881510981e-06,5.961151693769816e-06,8.571307330886382e-06,5.309563100635016e-06
2,6.513612390485665e-06,4.051570895630304e-06,1.4334207600454062e-05,1.0132860401708321e-05,3.3199231143512395e-06,2.1863175457163067e-06,8.892143779599768e-06,5.864067490374172e-06,1.049267937050782e-05,5.614008327835714e-06
