Haplo,0,1,2,3,4,5,6,7,8,9
0,6.116923614953886e-06,4.3540001789772335e-06,1.3330761076410955e-05,9.111340673947226e-06,3.4177353626101675e-06,2.2565872196181427e-06,8.48721756592759e-06,5.7028409198443095e-06,9.100452930842521e-06,5.88543100510122e-06
1,6.140668493984056e-06,4.128697032233434e-06,1.0431888625247156e-05,8.409737067562089e-06,3.6489146237474004e-06,2.515355513336581e-06,7.5234368983941495e-06,5.961151700334853e-06,8.571307344261081e-06,5.309563112037882e-06
2,6.513612354195469e-06,4.0515708744833326e-06,1.4334207526691717e-05,1.0132860344178858e-05,3.3199230953909906e-06,2.186317532701295e-06,8.892143731251167e-06,5.864067458977947e-06,1.0492679311926467e-05,5.614008298455489e-06
